TimeGenerated [UTC],Account,IpAddress,Computer
"19/02/2025, 18:02:25.581",\1,192.210.236.xxx,CORP-NET-CENTRA
"19/02/2025, 18:09:50.799",\USER,192.210.236.xxx,CORP-NET-CENTRA
"19/02/2025, 17:06:24.741",\ADMIN,192.210.236.xxx,CORP-NET-CENTRA
"19/02/2025, 17:06:26.860",\ADMIN,147.135.222.xxx,CORP-NET-CENTRA
"19/02/2025, 17:07:06.958",\USER,192.210.236.xxx,CORP-NET-CENTRA
"19/02/2025, 17:07:10.761",\USER,147.135.222.xxx,CORP-NET-CENTRA
"19/02/2025, 17:07:47.301",\1,192.210.236.xxx,CORP-NET-CENTRA
"19/02/2025, 17:07:53.352",\1,147.135.222.xxx,CORP-NET-CENTRA
"19/02/2025, 17:08:31.833",\ADMINISTRATOR,192.210.236.xxx,CORP-NET-CENTRA
"19/02/2025, 17:08:37.565",\ADMINISTRATOR,147.135.222.xxx,CORP-NET-CENTRA
"19/02/2025, 17:09:11.285",\ADMIN,192.210.236.xxx,CORP-NET-CENTRA
"19/02/2025, 17:09:20.608",\ADMIN,147.135.222.xxx,CORP-NET-CENTRA
"19/02/2025, 17:09:55.489",\USER,192.210.236.xxx,CORP-NET-CENTRA
"19/02/2025, 17:10:05.009",\USER,147.135.222.xxx,CORP-NET-CENTRA
"19/02/2025, 17:10:36.286",\1,192.210.236.xxx,CORP-NET-CENTRA
"19/02/2025, 17:10:50.856",\1,147.135.222.xxx,CORP-NET-CENTRA
"19/02/2025, 17:11:15.801",\ADMINISTRATOR,192.210.236.xxx,CORP-NET-CENTRA
"19/02/2025, 17:11:34.779",\ADMINISTRATOR,147.135.222.xxx,CORP-NET-CENTRA
"19/02/2025, 17:11:55.910",\ADMIN,192.210.236.xxx,CORP-NET-CENTRA
"19/02/2025, 17:12:18.263",\ADMIN,147.135.222.xxx,CORP-NET-CENTRA
"19/02/2025, 17:12:36.035",\USER,192.210.236.xxx,CORP-NET-CENTRA
"19/02/2025, 17:13:00.916",\USER,147.135.222.xxx,CORP-NET-CENTRA
"19/02/2025, 17:13:14.395",\1,192.210.236.xxx,CORP-NET-CENTRA
"19/02/2025, 17:13:44.656",\1,147.135.222.xxx,CORP-NET-CENTRA
"19/02/2025, 17:13:53.963",\ADMINISTRATOR,192.210.236.xxx,CORP-NET-CENTRA
"19/02/2025, 17:14:28.030",\ADMINISTRATOR,147.135.222.xxx,CORP-NET-CENTRA
"19/02/2025, 17:14:35.145",\ADMIN,192.210.236.xxx,CORP-NET-CENTRA
"19/02/2025, 17:15:11.612",\ADMIN,147.135.222.xxx,CORP-NET-CENTRA
"19/02/2025, 17:15:14.738",\USER,192.210.236.xxx,CORP-NET-CENTRA
"19/02/2025, 17:15:55.197",\USER,147.135.222.xxx,CORP-NET-CENTRA
"19/02/2025, 17:15:57.348",\1,192.210.236.xxx,CORP-NET-CENTRA
"19/02/2025, 17:16:35.457",\ADMINISTRATOR,192.210.236.xxx,CORP-NET-CENTRA
"19/02/2025, 17:16:38.044",\1,147.135.222.xxx,CORP-NET-CENTRA
"19/02/2025, 17:17:17.661",\ADMIN,192.210.236.xxx,CORP-NET-CENTRA
"19/02/2025, 17:17:22.312",\ADMINISTRATOR,147.135.222.xxx,CORP-NET-CENTRA
"19/02/2025, 17:17:58.474",\USER,192.210.236.xxx,CORP-NET-CENTRA
"19/02/2025, 17:18:05.158",\ADMIN,147.135.222.xxx,CORP-NET-CENTRA
"19/02/2025, 17:18:36.896",\1,192.210.236.xxx,CORP-NET-CENTRA
"19/02/2025, 17:18:49.036",\USER,147.135.222.xxx,CORP-NET-CENTRA
"19/02/2025, 17:19:19.223",\ADMINISTRATOR,192.210.236.xxx,CORP-NET-CENTRA
"19/02/2025, 17:19:31.434",\1,147.135.222.xxx,CORP-NET-CENTRA
"19/02/2025, 17:19:59.145",\ADMIN,192.210.236.xxx,CORP-NET-CENTRA
"19/02/2025, 17:20:16.586",\ADMINISTRATOR,147.135.222.xxx,CORP-NET-CENTRA
"19/02/2025, 17:20:38.489",\USER,192.210.236.xxx,CORP-NET-CENTRA
"19/02/2025, 17:21:02.207",\ADMIN,147.135.222.xxx,CORP-NET-CENTRA
"19/02/2025, 17:21:18.724",\1,192.210.236.xxx,CORP-NET-CENTRA
"19/02/2025, 17:21:45.178",\USER,147.135.222.xxx,CORP-NET-CENTRA
"19/02/2025, 17:22:00.222",\ADMINISTRATOR,192.210.236.xxx,CORP-NET-CENTRA
"19/02/2025, 17:22:27.899",\1,147.135.222.xxx,CORP-NET-CENTRA
"19/02/2025, 17:22:40.551",\ADMIN,192.210.236.xxx,CORP-NET-CENTRA
"19/02/2025, 17:23:09.925",\ADMINISTRATOR,147.135.222.xxx,CORP-NET-CENTRA
"19/02/2025, 17:23:22.269",\USER,192.210.236.xxx,CORP-NET-CENTRA
"19/02/2025, 17:23:52.557",\ADMIN,147.135.222.xxx,CORP-NET-CENTRA
"19/02/2025, 17:24:00.803",\1,192.210.236.xxx,CORP-NET-CENTRA
"19/02/2025, 17:24:34.714",\USER,147.135.222.xxx,CORP-NET-CENTRA
"19/02/2025, 17:24:40.755",\ADMINISTRATOR,192.210.236.xxx,CORP-NET-CENTRA
"19/02/2025, 17:25:20.749",\1,147.135.222.xxx,CORP-NET-CENTRA
"19/02/2025, 17:25:21.289",\ADMIN,192.210.236.xxx,CORP-NET-CENTRA
"19/02/2025, 17:26:02.754",\USER,192.210.236.xxx,CORP-NET-CENTRA
"19/02/2025, 17:26:03.012",\ADMINISTRATOR,147.135.222.xxx,CORP-NET-CENTRA
"19/02/2025, 17:26:45.020",\1,192.210.236.xxx,CORP-NET-CENTRA
"19/02/2025, 17:26:45.423",\ADMIN,147.135.222.xxx,CORP-NET-CENTRA
"19/02/2025, 17:27:25.520",\ADMINISTRATOR,192.210.236.xxx,CORP-NET-CENTRA
